"items","support","transIdenticalToItemsets","count"
"1","{Financial Services}",0.0113363995594999,0.00886182548422621,875
"2","{Sushi Bars}",0.0103387963982639,0,798
"3","{Japanese}",0.0109865906588068,0,848
"4","{Ice Cream & Frozen Yogurt}",0.0131890911446525,0,1018
"5","{General Dentistry}",0.0106626935285353,0,823
"6","{Pet Services}",0.0112716201334456,0,870
"7","{Cafes}",0.0129817969812787,0,1002
"8","{Bakeries}",0.0144458120101056,0,1115
"9","{Pubs}",0.011323443674289,0,874
"10","{Professional Services}",0.0132797823411285,0.00621882490121138,1025
"11","{Sports Bars}",0.0105979141024811,0,818
"12","{Chinese}",0.0211051370084861,0,1629
"13","{Dentists}",0.0154822828269742,0,1195
"14","{Nail Salons}",0.0215974606464987,0,1667
"15","{Grocery}",0.0184491805402604,0,1424
"16","{Pets}",0.019394960160653,0.00772170758567079,1497
"17","{Specialty Food}",0.0148992679924856,0,1150
"18","{Real Estate}",0.0184491805402604,0,1424
"19","{Breakfast & Brunch}",0.0177366068536633,0,1369
"20","{Hotels}",0.0185398717367364,0,1431
"21","{Women's Clothing}",0.0147437973699553,0,1138
"22","{Auto Repair}",0.0222322990218307,0,1716
"23","{Italian}",0.0239424758696638,0,1848
"24","{Fitness & Instruction}",0.0186823864740558,0,1442
"25","{Burgers}",0.0229837403640604,0,1774
"26","{Doctors}",0.0219472695471918,0,1694
"27","{American (New)}",0.0206387251408953,0,1593
"28","{Hair Salons}",0.0270907559759021,0,2091
"29","{Mexican}",0.0325840513053054,0,2515
"30","{Home & Garden}",0.0205480339444193,0,1586
"31","{Coffee & Tea}",0.0284899915786746,0,2199
"32","{Pizza}",0.0344237870052471,0,2657
"33","{Arts & Entertainment}",0.0294228153138563,0.0143421649284187,2271
"34","{Hotels & Travel}",0.0323249336010883,0.0118287231975125,2495
"35","{Sandwiches}",0.030627712638466,0,2364
"36","{Fast Food}",0.0369372287361534,0,2851
"37","{American (Traditional)}",0.0313014186694306,0,2416
"38","{Event Planning & Services}",0.0385437585022997,0.0108829435771199,2975
"39","{Active Life}",0.0402021118092894,0.0156247975642936,3103
"40","{Local Services}",0.0449310099112522,0.0315087128328043,3468
"41","{Automotive}",0.0545183649672864,0.0263004469780398,4208
"42","{Fashion}",0.0398782146790179,0,3078
"43","{Home Services}",0.0619939107339509,0.0337889486299151,4785
"44","{Health & Medical}",0.0663470881647989,0.0195504307831833,5121
"45","{Bars}",0.0560730711925892,0,4328
"46","{Beauty & Spas}",0.0852885923430718,0.0249659908013215,6583
"47","{Nightlife}",0.0659195439528406,0.00437908920126968,5088
"48","{Food}",0.119841938200428,0.0181382392951998,9250
"49","{Shopping}",0.145533458573557,0.0544276737708104,11233
"50","{Restaurants}",0.324816998121397,0.069145559370344,25071
"51","{Restaurants,Sushi Bars}",0.0103387963982639,0.00389972144846797,798
"52","{Japanese,Restaurants}",0.0109865906588068,0.00456047159422168,848
"53","{Food,Ice Cream & Frozen Yogurt}",0.0131890911446525,0.00996307572714906,1018
"54","{Dentists,General Dentistry}",0.0106626935285353,0,823
"55","{General Dentistry,Health & Medical}",0.0106626935285353,0,823
"56","{Pet Services,Pets}",0.0112716201334456,0.0110384141996502,870
"57","{Cafes,Restaurants}",0.0129817969812787,0.00485845695407139,1002
"58","{Bakeries,Food}",0.0144458120101056,0.00729416337371251,1115
"59","{Bars,Pubs}",0.011323443674289,0,874
"60","{Nightlife,Pubs}",0.011323443674289,0,874
"61","{Bars,Sports Bars}",0.0105979141024811,0,818
"62","{Nightlife,Sports Bars}",0.0105979141024811,0,818
"63","{Chinese,Restaurants}",0.0211051370084861,0.0178791215909827,1629
"64","{Dentists,Health & Medical}",0.0154822828269742,0.00472889810196282,1195
"65","{Beauty & Spas,Nail Salons}",0.0215974606464987,0.0182677981473084,1667
"66","{Food,Grocery}",0.0184491805402604,0.0107663406102222,1424
"67","{Food,Specialty Food}",0.0148992679924856,0.00798082528988793,1150
"68","{Home Services,Real Estate}",0.0184491805402604,0.0168296948889033,1424
"69","{Breakfast & Brunch,Restaurants}",0.0177366068536633,0.00564876595193367,1369
"70","{Hotels,Hotels & Travel}",0.0185398717367364,0,1431
"71","{Event Planning & Services,Hotels}",0.0185398717367364,0,1431
"72","{Fashion,Women's Clothing}",0.0147437973699553,0,1138
"73","{Shopping,Women's Clothing}",0.0147437973699553,0,1138
"74","{Auto Repair,Automotive}",0.0222322990218307,0.0219602254324027,1716
"75","{Italian,Restaurants}",0.0239424758696638,0.0106626935285353,1848
"76","{Active Life,Fitness & Instruction}",0.0186823864740558,0.0160264300058301,1442
"77","{Burgers,Fast Food}",0.0100278551532033,0,774
"78","{Burgers,Restaurants}",0.0229837403640604,0.00572650126319881,1774
"79","{Doctors,Health & Medical}",0.0219472695471918,0.0198225043726113,1694
"80","{American (New),Restaurants}",0.0206387251408953,0.00836950184621364,1593
"81","{Beauty & Spas,Hair Salons}",0.0270907559759021,0.0227116667746324,2091
"82","{Mexican,Restaurants}",0.0325840513053054,0.0237092699358684,2515
"83","{Home & Garden,Shopping}",0.0205480339444193,0.0151583856967027,1586
"84","{Coffee & Tea,Food}",0.0284899915786746,0.018034592213513,2199
"85","{Pizza,Restaurants}",0.0344237870052471,0.0183584893437844,2657
"86","{Event Planning & Services,Hotels & Travel}",0.0190581071451707,0.000427544211958282,1471
"87","{Restaurants,Sandwiches}",0.030627712638466,0.0105072229060051,2364
"88","{Fast Food,Restaurants}",0.0369372287361534,0.0103387963982639,2851
"89","{American (Traditional),Restaurants}",0.0313014186694306,0.0108052082658548,2416
"90","{Fashion,Shopping}",0.0398782146790179,0.0212735635162272,3078
"91","{Bars,Nightlife}",0.0560730711925892,0.0135129882749239,4328
"92","{Bars,Restaurants}",0.0313921098659066,0,2423
"93","{Nightlife,Restaurants}",0.0328172572391009,0.000388676556325711,2533
"94","{Food,Restaurants}",0.0272203148280106,0.00310941245060569,2101
"95","{Dentists,General Dentistry,Health & Medical}",0.0106626935285353,0.0106108699876919,823
"96","{Bars,Nightlife,Pubs}",0.011323443674289,0.00487141283928224,874
"97","{Bars,Nightlife,Sports Bars}",0.0105979141024811,0.00237092699358684,818
"98","{Event Planning & Services,Hotels,Hotels & Travel}",0.0185398717367364,0.0161041653170953,1431
"99","{Fashion,Shopping,Women's Clothing}",0.0147437973699553,0.0139923560277256,1138
"100","{Burgers,Fast Food,Restaurants}",0.0100278551532033,0.00923754615534106,774
"101","{Bars,Nightlife,Restaurants}",0.0313921098659066,0.00527304528081881,2423
